_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
0,NGC   288,GlCl,00 52 45.24,-26 34 57.4,1800,1800,90,4.22,-5.65,10,8.13,,,,,,19.2,19.2,0,947,13.1885,-26.582611
0.9288,2MASS J00524519-2634582,RGB*,00 52 45.20610,-26 34 58.2099,0.02,0.015,90,4.156,-5.672,15.013,13.864,,11.839,11.207,11.104,,,,,1,13.188359,-26.582836
8.9958,RX J005245.0-263449,Star,00 52 45.0,-26 34 49,,,,,,,,,,,,,,,,1,13.1875,-26.580278
10.6877,CXOU J005244.8-263448,X,00 52 44.832,-26 34 48.22,,,,,,,,,,,,,,,,2,13.1868,-26.580061
21.0276,[MDL2014] 240,HB*,00 52 43.70847,-26 35 01.8820,0.072,0.052,90,4.505,-5.442,,,,,,,,,,,2,13.182119,-26.583856
22.0884,2MASS J00524620-2635150,RGB*,00 52 46.22884,-26 35 15.0622,0.024,0.017,90,4.211,-5.618,15.695,14.72,,12.82,12.23,12.113,,,,,1,13.19262,-26.587517
24.1954,[MDL2014] 70,Candidate_HB*,00 52 45.40,-26 35 21.5,,,,,,,,,,,,,,,,1,13.189167,-26.589306
27.2776,2MASS J00524492-2634305,RGB*,00 52 44.93737,-26 34 30.4262,0.028,0.02,90,4.327,-5.723,16.065,15.159,,13.413,12.895,12.8,,,,,1,13.187239,-26.575118
30.5844,Gaia DR2 2342907756640379904,Star,00 52 46.44585,-26 34 31.4436,0.092,0.069,90,4.442,-5.422,,,,,,,,,,,1,13.193524,-26.575401
31.5566,Gaia DR2 2342907653560680192,Star,00 52 42.89581,-26 35 00.0437,0.086,0.062,90,4.017,-5.312,,,,,,,,,,,1,13.178733,-26.583345
34.2801,Cl* NGC  288    SAW V4,pulsV*SX,00 52 42.83,-26 34 46.0,190,180,19,,,17.53,17.24,,16.59,,,,,,,8,13.178458,-26.579444
